الشكل جميل فقط, 0 '
'لا تعمل على اى فيلم او جهاز وغير ذلك تألم العين عند لبسها, 0 '
'شكرا على هذه السلعه الجيدة, 1 '
'عملية وجيدة جدا وسعدت بالتعامل معكم, 1 '
'منتج في غاية الروعه, 1 '
'قمت بشراء أكثر من عطر من العربية للعود مثل كلماتي و سحر الكلمات و مستي وود ثبات الرائحة لهذه العطور غير جيدة إذا كنت تبحث عن عطر يدوم وقت أكثر على الجسم أو الملابس فعطور العربية للعود ليست اختيار مناسب على الاطلاق, 0 '
'فكرة رائعة وتفي بالغرض تماما, 1 '
'سلعة جميلة ورائعة, 1 '
'100, 1 '
'مطابقه للي في الصيدلايات والسعر ارخص, 1 '
'سلعه رائعه جدا جدا وسعرها مناسب وانصح باستخدام السلعه لصغر حجمها وسهولة حملها واستخدامها وطريقة شحنها, 1 '
'رائعه وتصويره جميله, 1 '
'السعله الكل يمدحها ولكن ولم يتم تجربتها حتى الان, 0 '
'سيئ و عدم الثبات, 0 '
'اللون الابيض اختيار غير موفق ولا انصح باختياره حيت انه سهل الاتساخ و يصعب تنظيفه, 0 '
'جميع منتجات فوريفر لفنج ممتازه فكلها من منتجات طبيعيه ومزيل العرق الوى افرشيلد ذو رائحه منعشه ولايترك اثار ويزيل الروائل الكريهه لفترات طويله, 1 '
'تم استلامها مكسورة ولم تكن مثل شكلها المعروض في الموقع وصغيرة الحجم والمايك سلكه قيره ظننتها لا سلكية وسعرها ليس مناسبا لإمكانتها, 0 '
'احذركم من هاذه السلعه اومن البائع نفسه, 0 '
'حنفية البيبسي ممتازة ورائعة, 1 '
'نظيف ممتع واجابي, 0 '
'ممتاز جدآ استخدمته من قبل سوق دت كوم قبل عشره ايام ولاحضت كثير من الفرق يبدو الشخص عندما يرتديه انيق جدآ يخفي الكرش, 1 '
'سلعه سيئه جدا, 0 '
'الصراحه انا اول مرة اشتري ساعات من موقع سوق وكنت خايف من الجوده لكن بعد التجربة اتضح لي ان جودتها مررة حلوة وراح اشتري مرة ثانية ان شاءالله, 0 '
'السلعه صراحه ممتازه ولم اتصور ان تكون بمثل هذه القوه في الحلاقه والتخفيف وانصح لكل من يريد شرائها الشراء دون تردد حيث انى مستخدمها لى الحين 3 ايام ممتازه وسيلها بالماء ولا اسهل ولا تؤثر على الماكينه, 1 '
'انصح به لجلد السياره وخاصه المتوقفه بالشمس فترات طويله للحمايه من التشقق, 1 '
'خامات المنتج سيئه وحجمها صغير وضعيفه, 0 '
'سيئه جدا وليس لها اى فائده كانك حاطط موبيل عامل فيبرايشين على رقبتك وتسبب الم ولانصح بها اى شخص ولاسف ارغب فى اعادتها, 0 '
'سيئة ولا انصح بها خامات رديئة لا يوجد تحكم بدرجة الصوت السماعات تفصل الصوت عند الحركة غير مريحة أغلى من مثيلاتها بالسوق, 0 '
'الحقيقة سلاقة البيض مميزة و مريحة و من خلال التجربة من قرأته رأيه واقعا, 1 '
'هل تدعم اللغة العربية وهل الكيبورد يدعم اللغه العربيه, 1 '
'ما انصح فيها تمنيت اني ما اشتريتها حاولت اقطع فيها البطاطس حلزونيه لكن ماتعمل بالطريقة الصحيحه رديه الصنع, 0 '
'الشورت مقاس 5 اكس لارج واسع جدااااااااااا مش مقاس أي شخص طبيعي أصلا ولا أنصح أي حد يشتريه حتى لو ببلاش, 0 '
'لا احد يشتري رديء رديء جدا, 0 '
'تقيمى المتواضع, 1 '
'مش تمام, 0 '
'ليست جيده وكبيره جداااجدااامو وسيع شكله كبير يعني ينحط زينه, 0 '
'قطاعه البصل سهله وخفيفه وبتنظف علي طول وشكرا لكل القائمين علي سوق كوم, 1 '
'سئ جداااا, 1 '
'لم تعمل أكثر من شهر واحد وهى الأن جثة هامدة, 0 '
'الماكينة يظهر بها صوت ماتور فقط ولكن لم تقص الشعر ارجو التبديل فورا وارجو الرد عليا وارسال مدوب الشحن للتبدين فى اقرب وقت, 0 '
'أنيقة جدا وعملية جدا من حيث الشحن وامكانية اضافة ذاكرة وصوتها جميل, 1 '
'للاسف اساسا ما اقدر اختار للون لأنو ما ينظغط وانا اتوقعت انو نفس اللون الي في الصورة وعلى دا الاساس طلبتها بس جاني موف بعيد تماما ياليت اعرف ايش السبب انو ما اقدر احدد اللون من بدري والمنظمة كويسا وحجمها حلو شكرا, 0 '
'جيده وصغيره عمليه مع سعرها الرخيص جيده وصغيره عمليه مع سعرها الرخيص جيده وصغيره عمليه مع سعرها الرخيص, 1 '
'مناسبة خصوصا فى الرحلات لصغر حجمه وامكانية حمله و تخزينه بسهولة كذلك مدة العمل الخاص به أراها جيدة, 1 '
'سلعه جيدة ونتمنى بالوان متعدده وباشكال جميله ومتنوعه الغطاء قوي ومتين وتم التوصيل في وقته المحدد ولم يحصل تأخير ونتمنى لكم الافضل, 0 '
'البالستيك المصنوعة منه هش جدا مع حاجة المستخدم لاستخدام الضغط اثناء العمل عليها, 0 '
'انحرق جهازي بسلبب استخدام الشاحن لا انصح باستخدامه, 0 '
'سعره غالي وﻻ يثبت, 0 '
'خامه ضعيفه جدا ورديئه وليس كما بالصوره ولا يحمى من اى شئ, 0 '
'إيجابيات و سلبيات قطاعة الثوم المبتكرة, 1 '
'تم ترك البطاريات على الشاحن لمدة 9 ساعات ولما تم التشغيل لم تشتغل سوا اقل من ساعتين فقط لا يوجد مؤشر يدل على انتهاء الشحن, 0 '
'كاميرا أكثر من رائعة سأشتريها قريبا, 1 '
'سعرها مغالي فيه, 0 '
'لا تساوي قيمتها, 0 '
'المنتج جيد ولكن هناك ماهو افضل منه, 0 '
'قلم ذو شكل فخم وانسيابي عند الكتابة, 1 '
'تم استعمالها على خشب السياره الداخلي وكانت ممتازه جدا والماركه غنيه عن التعريف, 1 '
'انا اشتريت البرينتر دي هي جودة الخط وكسعرها وحجمها كويسين اويييبس المشكلة انها حبر يعني لما يخلص الحبر لازم اشتري غيره ب سعر غااالي انا لو كان لسه قدامي الاختيار كنت اشتريت ليزر احسن من الحبر وكمان حبر كانون بيخلص بسرعة جدااا منصحش حد يشتري كانون الحبر دي, 0 '
'نيكسس هاتف ذكي خفيف الوزن ونظام اندرويد حديث, 1 '
'تسلمت السلعة وإحدى السماعات لا تعمل واتصل بسوق وبالفعل ارسلو مندوب شركة الشحن ليسترودوا السلعة والتي اعتقد انه بها عطل من المصنع, 0 '
'سلعة جميلة وعملية بس تبغى حذر في الاستخدام والانتباه عشانها دقيقة وسعرها رااااائع جدا وافضل الموجود, 1 '
'اريد شراء هذا المنتج مره ثانيه ولكنه غير متوفر, 0 '
'خامة ممتازة تناسب جميع الاطفال ونوعيتها ولاتوثر على جلد الطفل وجفاف تام طوال الليل ولايوجد اي تسريب, 1 '
'ما عجبتني راح لونها وصلر بدها رمي ياريت ما جبتها لونها دغري تغير, 0 '
'ممتازه جدا ولا احلى على مقارنه بسعرها, 1 '
'إستعمال أسبوعين فقط ولا يمكنها إيقاف الأيباد عاموديا مرة أخرى, 0 '
'ممتازه جدا يمنع دخول الاتربه والحشرات ويحمي المنزل من الاوساخ وسهل الإستخدام وانصح الجميع باستخدامه, 1 '
'خفيفة وصغيرة الحجم وفعالة بشكل كبير خصوصا في الحفلات وأثناء مشاهدة التلفاز, 1 '
'كنت اتوقع انها جيده لاكن العكس هو الصحيح لم استخدمها لانها بالفعل سلعه رديئه ومن المفروض من البائع وضع منتجات جيده لتكون لهم مصداقيه, 0 '
'جهاز رائع وصلني جديد وبتغليف المصنع مميزاته رائعه وانصح الجميع باقتناءه, 1 '
'جميل ومرتب حيث يحمل عدد خمس فرش اسنان بالاضافة الى المعجونفكره جميله وعمليه, 0 '
'راائعه جدا وشكلهم حلوو بس لو فيه منه 3 متر احلى, 1 '
'عملي ومفيد وحجمة مناسب, 1 '
'1010, 1 '
'اصغر من الصوره وتغليفه سيء, 0 '
'فكرة جديدة ورائعة وبالفعل تم تطويرها بحيث لاتنتقل الحرارة الى اليد أثناء التشغيل ولكن يوجد عيب كبير في المنتج وهو أنه في حالة تشغيله لفترة طويلة متواصلة سرعات مايتمزق الغطاء البلاستيكي العلوي وكذلك القاعدة البلاستيكية بسبب الحرارة وكذلك يوجد صعوبة في خروج الدخان من الاعلى بسبب وجود سدادة داخلية لاأعلم مافائدتها وللعلم فقد قمت بإزالتها مؤخرا, 0 '
'إيجابيات و سلبيات بدلة تخسيس رياضية 2, 1 '
'لا تمت للمخدة الطبية الموجودة في السوق باي علاقة لا في الحجم ولا في النوعية وسيبك من صورة الكف ال بيسيب اثر على المخدة ولا بيحصل الكلام ده لانها اسفنجة عادية جدا, 0 '
'يحتاج الى مقتنيات, 0 '
'خامه ضعيفه لا يوجد تغليف للسلعه, 0 '
'الحجم صغير جداا بشكل سئ للغاية غير عملية وغير مفيدة بالمرة, 0 '
'جيد والتوصيل حسب الموعد, 1 '
'الساعة كانت على عكس مثيلاتها من الساعات الرقمية و من اول غسل لليدين امتلأت بالماء لذى فانا لا انصح بهااا والسلام عليكم, 0 '
'حلوه بس سعرها ما يسوا, 0 '
'جيد بشكل عام, 1 '
'جيدة لانها تسهل التصوير ولكن الرأس ليس ثابتا ويتحرك اثناء التصوير, 0 '
'تسرب الماء خارج البلاستيك داخلها, 0 '
'رائعه وسرعة التوصيل هي الاروع, 1 '
'الاله عملية وافضل ما حببني فيها هو انها تعمل البيض بعدة طرق جميله وسريعه مما ادى الى تنافس اطفالي عليها الذي اعاني من قلة اكلهم بشكل عام, 1 '
'ساعة جميله ومتتازه وحجمها مناسب للمساجد الصغيره او المنزل وسعرها مناسب وبها توقيت هجرى وميلادى ومواقيت الصلاه مع سهولة ظبطها, 1 '
'رووووعه, 0 '
'أكثر من ممتاز, 1 '
'جيدة جدا وانوي تجربة الوان اخرى مستقبلا, 1 '
'لابد من مواصفات للسلعة ماركة قوة ضخ ضغط اقصى, 0 '
'رووعه جميله, 1 '
'العلبة مفتوحة من غير شاحن بعد الشحن اكثر من 10 ساعات لا تعمل الا 15 دقيقة التعليمات بالاوديو لا تعمل لا تعمل الا على جهاز موبايل واحد رغم ان على النت يمكن تشغيلها على موبايلين, 1 '
'غير مناسب مؤلم قليلا عند وضعه على العيون ولا يؤدي الغرض المطلوب كما ان خامته رديئة, 0 '
'جيده جدا وتتمتع بنقاء الصوت ومميزه نظير الاقتران السريع والجوده العاليه اتمنى توفيرها بشكل دئم حتى ترتقي الي المستواء الامامول وشكرا, 1 '
'نظارة ماركة جيدة مع ضمان وشكل عصري انيق, 1 '
'لا اكون صريحة السلعة بها الكثير من الاشياء السيئة, 0 '
'إيجابيات و سلبيات كاسيو 12999 للرجال انالوج بعقارب, 0 '
'صراحة قررت تاني ما اشتري عن طريقكم لان 3 ساعات وكلها سيئة التصميم, 0 '
'طقم ممتاز جدا انارة ناعمة جدا في الحديقة تضيف جمالا عند الممرات أو الأحواش, 1 '
'السلعة مخالفه للمواصفات المكتوبة, 0 '
'ان شاء الله تعجبكم مثل ما اعجبتني, 1 '
'السلعة لم تجرب واعتقد ان السلعة كانت في العرض وليس جديدة لما لوحظ عليها من اثر استخدام وتشقق في الجلد الخاص بالمقعد, 0 '
'المواد المصنوعة منها جدا سيئة, 0 '
'ممتازة علي وجة العموم, 0 '
'لو السعر يكون ١٥٠ بس تكون, 0 '
'مناسب للزجاج والبودي والداخليه, 1 '
'لم استخدمها طويلا أهديتها وأشتريت أخرى أكثر تطورا وثباتا وطبعا أغلا سعرا وما أعتقد أن هناك ضرورة لكتابة 100 حرف, 0 '
'منتج سيئ جدا ولا يليق بلموقع ان يسوقو لمثل هكذا منتجات سيئه, 0 '
'ياليت كمان تكون هناك افكار كثيرة تختار منها, 1 '
'عيار 21 طقم كامل من الذهب تشكيله مميزه, 1 '
'ساعة ممتازة وغنية عن التعريف, 0 '
'بطارية الشحن تنفذ بسرعة ولم يصل الى المستوى المطلوب, 0 '
'اشتريت السلعه ودفعت ثمنها من الماستر كارد وتم ابلاغي انه تم ارجاعها ولا اعلم السبب, 0 '
'شاشه ممتازه وتستحق الا شاده بها ولا يعيبها سوا عدم وجود قاعدة تثبيت انصح بأقتنائها هذه النفاصيل عن تجربتي الشخصيه لهذه السلعه, 1 '
'كوب لتحضير العصائر مميز لتحضير العصائر بسرعة وسهولة وانصح بشراء وذلك لسهولة تنظيف الكوب وتحضير العصائر بسرعة, 1 '
'راي سلبي جدا, 0 '
'المنتج بشكل عام جيد للحلاقة لكن السلبية الوحيدة هو وجود شفرة واحدة فقط مما يعني الحاجة إلى المرور على المكان الواحد أكثر من مرة أحيانا, 0 '
'كنت متحمسا للسعر والمنتج لكن للاسف كان مثل العطورات التجارية بسوق الجملة, 0 '
'منتج رائعه جدا و حجمها كبير 1 و لم يكن هناك تأخير في إيصال الطلبية و تعامل رائع أيضا, 1 '
'انها لاتعمل و كانها مكسور لا انصحكم به ابدا و ارجو ان يتاكد البائع من عملها قبل بيعها, 0 '
'كان العرض ٢٩٩ قبل الشراء ب٣ ايام وبعدها نزل العرض٢٤٩ على العموم الساعه جيدة نوعامااااااااا ولازال السعر غير مناسب بعد ما استخدمتها, 0 '
'متوسط الاداء, 0 '
'حجمها صغير ورائعه المظهر خصوصا اللو الذهبي, 1 '
'خامة جيدة ومتينة والتصميم جذاب جداا والسعر مناسب جدا وفترة التوصيل والشحن ممتازة وتغليف السلعة جيد, 1 '
'ماهياش قادرة تخدش قشرة البطيخة حتى ده غير انها ضعيفة جدا وكانت هتتخلع من بعضها لمجرد الضغط عليها شوية, 0 '
'فظيييع يوقف التساقط و يطول و ينعم و يقوي واحلا شي مافيه ريحة و يروح بسرعة مع الغسل مو مثل بعض الزيوت اسبوعين تقعد في الشعر, 1 '
'جميل جدا والاجمل شكله وكتابته, 1 '
'بعض المواد غير مطابقة لصورة, 0 '
'ممتازة جدا للتنظيم, 1 '
'منتج شكله جميل جدا وعملي حتى تقدر تقدمه في وجود ضيف على الغذاء واستخداماته كتيرة, 1 '
'اشكركم, 0 '
'صغيرة جدا ولا تأخذ مساحة في الحقيبه سهلة الطي وعملية الوانها رائعه مصنوعه من البلاستك لايمكن وضع الملابس الثقيلة جدا عليها, 1 '
'انصح بيه لصديق, 0 '
'اشتريتها هديه لاخي ولم اجربها بنفسي وحسب قوله ان تأثيرها بسيط ولابأس به, 0 '
'جيده جدا اخذتها بسعر 79 ونزل الان سعرها 55 شي يقهر توني مشتريها ينزلون سعرها هي تساعد في شحن الجوال مره واحده, 1 '
'اعجبتني السلعة رائعة التصميم و الالوان الجودة متوسطة, 1 '
'ممتازة وفعالة فى تخفيف آلام العظام والمفاصل, 1 '
'عمليه جدا بسعر مناسب جدا تتناسب مع احتياجااتنا اليوميه حتى انها تناسب السيدات في حالات الطوارئ, 1 '
'هذه التاجرة صادقة جدا, 1 '
'إيجابيات و سلبيات الة إمتصاص الدهون, 1 '
'سهولة في الاستخدام, 1 '
'الجهاز رائع جدا واصلي ومعه ضمان عامان, 1 '
'جيدا جدا بالنسية لسعره العلبة الخارجية قديمه ولكن من الداخل الجهاز رائع, 1 '
'جدا رائعه وانصح فيها بقوه, 1 '
'السلام عليكم القطعه رائعه جدا تستاهل المشترئ لانها توفرعليك اشياء كثيره ومفيده بشكل عام للاعمال المنزليه شكرا لكم على التقيد بالمواعيد وسرعت شحن المشتريات من موقع سوق كم اتمنى لكم التوفيق والرزق الحلال ودمتم بخير, 1 '
'لم يعجبني الشاشة ضد البصمة وكنت اتمنى ان يكون شفاف, 0 '
'شاحن سيئ جدا لا يشحن كثير من الموبايلات وخصوصا البطاريات التى تزيد عن 2800 مللي امبير وهو اكثر انواع بطاريات الموبايلات, 0 '
'لا انصح بشرائها فهي سلعة شكلها يوحي بمواصفاتها ولكن كل مواصفاتها لا تنطبق عليها فهي ضعيفه من حيث القوة كذالك تتوقف عند الضغط عليها قليلا لذالك فهي لاتعمل بفعالية, 0 '
'لا تستحق مبلغ 50 ريال وليس بها مساج بل بها هزاز مزعج, 0 '
'لاتصلح للبالغين ولذلك لايمكن الحكم على فعاليتها من عدمه الا بعد الاستخدام وهي لاتصلح للاستخدام من قبل الكبار لغر الحجم الذي يتم توريده, 0 '
'إذا إرتفعت حرارة الأسلاك و محرك الجهاز يتوقف الجهاز عن العمل إذا وصل بالإطار و إذا فصلتة عن الإطار يعمل, 0 '
'سريع في الشحن والتوصيل, 1 '
'سلعه جميله جدا شكلها انيق, 1 '
'المنتج جميل ولاكن يحتاج جليبريك, 1 '
'تم طلبه لزوجتي لعدم وجوده في الكثير من الصيدليات وعند وجوده سعره يكون ضعف الموجود في الموقع, 1 '
'المقاس والحجم صغير جدا جدا, 0 '
'إيجابيات و سلبيات مشد لتنحيف الجسم, 0 '
'سماعه ممتازة و سعرها رائع, 1 '
'ليس راوتر انه موسع مدى, 0 '
'المنتج صيني وحجمه غير مطابق 100 لحجم البطارية الأصلية مايجعل هناك مشكله, 0 '
'فعلا بتحافظ على الكروت جدا لانها معدن بس كنت اتمنى ان تكون مفصلات الحافظه اقوى وعموما هى شكلها جميل جدا وبتجذب اى حد شافها معايا بيقوللى بتتباع فين, 1 '
'الف شكر لكم والجهاز ممتاز, 1 '
'بعد التجربه لم يكن ذافائده واتضحت عيوبه من اول تجربه وتقطع من مفاصل الصمامات وبعد الترميم في محلات خاصه للخراطيم اصبح جيدا جدا لانصح به اذا لم يكن ذا جوده عاليه ومن شركته الام, 0 '
'جدا ممتاز وتحفظ الحرارة بشكل ممتاز, 1 '
'ضعيفه جدا وبتلزق فى الملابس ومش عملية, 0 '
'محفظة مفاتيح رائعة وعملية وخفيفة, 1 '
'اتمنا الافضل, 0 '
'سلعه سيئه ولا تطرد الفئران ولا شئ وجودها مثل عدمه وصناعتها رديئه جداا وليس لها كتيب لطريقه الاستخدام حتى, 0 '
'الساعه مش ضد الميه خالص ودا كدب, 0 '
'لا يوجد صرف و لا زجاجه الخاصه به والحنفيات من بلاستيك ضعيف وتستهلك كهرباء عاليه و لا ازرار للتحكم ولكن الشكل مقبول والتبريد فى الثلاجه جيد, 0 '
'منتج رائع للبشره وناسبني جداوالنتيجه كانت مرضيه وكريم الاساس صار معاه احلى وثابت اكثر, 1 '
'خفيفة و سهلة الاستخدام و تنظف جميع الاسطح يمكن استخدامها في الاسطح المبللة لكن الجهاز لايمكن وضعه داخل الماء تحتاج لبطارية لايمكن وصلها بالكهرباء, 1 '
'إيجابيات هذه السلعه سعرها مغري جدا وانصح بشرائها شكرا لكم سوق وانصح بشرائها لاصدقائي ولا تنسو امانة سوق وأفضل حاجه الدفع عند التسليم, 1 '
'جدا رائعة وسعرها معقولة جربتها وأعطتني مشاكل السيارة كلها, 1 '
'ممتاز شكرا للبائع وشكرا لـ سوق كوم, 1 '
'جميله جدا الله يعطيك العافيه الى الامام وبارك الله فيك على كل شيء, 1 '
'بامكاني ان اضيفه الى كريمات الترطيب وال حمامات الزيت لزيادة فعاليتها, 1 '
'الباع سي جدا وعندهم عدم التزام بالشروط وسوق كوم ليس له اي رأي, 0 '
'فى مادة بتسود مع العرق لما تلزق على الرجل 6 ساعات اكيد الرجل هتعرق وانا حطت علي اللزقة ماية اسودت برضوا, 0 '
'السلعة ممتازة ونتمنى سرعة وصولها في المستقبل, 1 '
'عملية ولها اكثر من استخدام وسعرها مناسب, 1 '
'تبيض الأسنان خلال 3 أيام أنصح بهذه السلعة, 1 '
'الحمدلله انها كانت مممتازة وجيدة ومتوافقه مع الجهاز وان شاء الله هذا اول المشتريات وليس الاخير, 1 '
'استعمال سهل يعدل الظهر سريع ممتاز في الرياضه ز لا كن المشكله الوحيده انو يتقطع ع الخفيف بس ما شاء الله تمااام انصح به, 1 '
'اشتريت هذه السلعه بسعر 2700 من سوق كوم ايام العروض وهي تستحقالاقتناء ومع الاستمرارية سيزول الشعر الغير مرغوب فيه ولكن يجب الاستمرار حيث انه سيعود للظهور بعد شهر او شهرين من التوقف عن الاستعمال, 1 '
'خامة رديئه جدا, 0 '
'جدا رائعه وعمليه جدا جدا جدا, 1 '
'بلوف الكفرات ممتازة حيث انها بوضعها العادي علي الكفر تعطيك اللون الاخضر طالما الكفر يحتفظ بضغط اعتقد لا يقل عن 32 ويتحول االي اللون الاحمر في حال نقص الهواء عن ذلك, 0 '
'الجوده رديه جداااااااا, 0 '
'ربما الجهاز لا يعطي أداء فعلي, 0 '
'لم استخدمه فترة كافية للتعرف على السلبيات ان كانت موجودة, 0 '
'الى كل محترفى التصوير الفوتوجرافى وهواه التصوير من افضل الكاميرات الاحترافيه وسعرى مغرى جدا وفرصه لا تعوض, 1 '
'جهاز رائع و سهل الاستخدام و يصلح لكل افراد الاسره و يقيس درجه الحراره مظبوط و عليه ايضا ضمان 3 سنوات من الشركه رائع, 1 '
'التقييم للمتج من ناحية الجودة, 0 '
'قطاعه جيده جدا وعمليه, 1 '
'الساعة حجمها كبير جدا, 0 '
'إيجابيات و سلبيات زيت الحشيش الأفغاني الخام لتطويل الشعر والتساقط, 1 '
'صغيره ولا تصلح حتى للأطفال, 0 '
'جيده, 1 '
'هذا المنتج لا يقوم بتقطيع الخضراوات بل يقوم بعصرها و هذا يدمرها ويجعلها غير قابله للاستعمال و هو ما اتضح من الاستعمال الفعلى له مع زوجتى و امى و هى مشتريات اتضح لى انها غير مفيده على الاطلاق, 0 '
'استعملت المنتج واعجبني في سهولة استعماله وتركيبه ولا ينثني عند السحب ولا يتعقد, 1 '
'السلعه وحشه جدا منصحش حد يشتريها انا جبت ثلاثه اثنين مش شغالين و واحد شغال بيشحن 14 بس كلمت صاحب السلعه بعت اثنين بدل اللي مش شغالين بردو مش شغالين, 0 '
'لقد اشتريت هذا السكين من الموقع على أساس أنها تسطيع تقطيع الأطعمة المجمدة بمهارة ولكنني اكتشفت أنها لا تستطيع تقطيع أي شيء حتى الجبنة البيضاء أو الخطروات, 1 '
'كارت الشاشة المدمج مع اللاب غير جيد, 0 '
'سي جدااا, 0 '
'انصح فيه يعني زين, 1 '
'الفأرة ممتازة واصلية معها ضمان 5 سنوات من ميكروسوفت, 1 '
'شاحن سامسونج فى علبته وجديد, 0 '
'بتقطع كويس لكن حديدها ضعيف استعملتها شهر والايد بتاعتها اتكسرت مع انها المفروض حديد, 0 '
'بسرعة ينقطع ومايستاهل, 0 '
'استعملت ثلاثه من خمسه و بهم مشاكل زنه و لا يسمعني الطرف الآخر و أحد السماعات لا تعمل, 0 '
'منتج سئ جدا, 0 '
'لا يوجد معها اي دليل حتى كي يوضح طريقة العمل بها وليست قوية وسعرها مبالغ فيه بصورة كبيرة, 0 '
'الخامة خفيفة ولابد استعمالها بحذر, 1 '
'الطقم كان في غايه الروعه والسلعه موافقه للمواصفات واشكركم على الجودة والسرعه في الطلب وانصح بالتعامل مع البائع, 1 '
'الشكل مناسب لكن السعر يعتبر اكتر مما تستحق الخامة لاكن سلعة كويسة وتنفع فى المطبخ وشكرا سوق كوم على سرعة الاستجابة, 0 '
'رائع وسهل الاستخدام ينظف المناكير الخارج من حدود الظفر يوجد رأسين احتياطي للتبديل في حالة عطب الرأس المستخدم, 1 '
'انصح بالشراء, 1 '
'إيجابيات و سلبيات, 0 '
'هى غير عملية على الاطلاق حيث تحتاج ليمون كبير جدا ولا تناسب الدارج من الليمون المصرى ولا انصح بشرائها, 1 '
'اشتريت هذه السلعة مستعملة, 1 '
'ممتازه في الشحن, 1 '
'منتج جدا رائع شكرا, 1 '
'جهاز ممتاز فبه كثير من الامور التي بحتاجها الشخص وهذا المنتج دقيق في اعطاء النتيجة وعمليا فهو سهل الاستخدام ولن العيب الذي فبه انه لا يوجد حقيبة لوضعه في داخلها, 1 '
'السلعه جيده لكن لا يمكن الاعتماد عليها وحدها حيث ان المقبض بها لا يمكن التعامل به ويحتاج الي مقبض جيد, 1 '
'رائعه وشكلها انيق وتناسب الرجال والنساء وقمت بطلب عدد 4, 1 '
'جودة جيدة, 1 '
'طائرة فاشله ما تطير عندي انواع كثيرة من الطائراة لاكن هذي نوعية سيئة, 0 '
'لاتصلح للاسعمال مع الجوالات, 0 '
'سلعة فعلا مطورة ومعالج فيها سلبيات الموديلات الأخرى سواء من السخونة والتحمل والأمان, 1 '
'سيئة ونفس الخامة في كل الموقع وتم الطلب لون اسود واتفاجئت باللون الابيض وتم وصولها لي خلال 3 اسابيع واكثر, 0 '
'العطور مقلده ولا انصح احد بشرائها, 0 '
'نظارة لجميع المناسبات أنيقة وعصرية, 1 '
'ااا, 0 '
'رائع جدا لم اندم لحظة واحدة على شراءه, 1 '
'صغيره الحجم وتثبيت الجوال عليها غير عملي, 0 '
'منتج ممتاز ومتطور لان الاندرويد به كيت كات وهو من احدث الاندرويد وكمان سعره ممتاز مقارنه بالمميزات التي به, 0 '
'خفيف الوزن وانيق والسعر ممتاز, 1 '
'راااائعه, 1 '
'السلعة تستاهل اكثر من السعر الي شريتها به وفرت ليي مساحة في شنطة السيارة ونظمت الاغراض الموجودة, 1 '
'آخر فانتازتك, 1 '
'ممتاز جدا ومفعوله ممتاز وانصح به للجميع ومن الضروري اخذ التعليمات قبل الاستخدام, 1 '
'السلعة بطيئة غير متزنة تتفكك بسرعة بطيئة غير عملية, 0 '
'مضخة الهواء لاتعمل كما يجب, 1 '
'الكاميرا جداا رائعه في التصوير النهار فقط, 1 '
'المنتج ليس جيد, 0 '
'سلعة جيدة وموفقة, 1 '
'لا انصح بشرائها من هنا لاني انا اشتريتها ووجدتها رديئه جدا, 0 '
'السعر مبالغ فية بصراحة بالنسبة للقدرة علي العمل المتواصل ولو شغلت اليو اس بي مع الكشاف مع المروحة علي السرعة العالية مش هتشتغل اكتر من ساعة ونصف, 0 '
'يتم تعليقها فى حلق الباب الذى فى الغالب هو من الخشب الضعيف أو يتم الحفر وتسبيتها بمسامير من الصلب حتى يتم تعليقها أعلى الباب, 0 '
'جودة المنتج سيئه جدا وغير عمليه وتشعر بأنها ستكسر في يدك, 0 '
'كويس بس السماعه لاتعمل, 0 '
'أنه صناعة فرنسية اذا كان صحيحا, 0 '
'سيئة جدا جدا, 0 '
'السلعة سيئة جدا ولاأنصح بشراء مثيلاتها من الحجم, 0 '
'سلعه جيده, 1 '
'لم استلمها, 0 '
'ممتازة و مناسبه لكل المقاسات وذات جودة جيدة جدا و سهلة الاستخدام و لكن لو كان هناك الوان اكثر لكان اجود, 1 '
'وصلة ممتازة جدا تسمح بتشغيل الفلاش ميموري ع الموبايل ونقل البيانات من الفلاشة إلى الموبايل ومن الموبايل إلى الفلاشة, 1 '
'بطيء يتعلق كثيرا, 0 '
'ممتازة ومرفق بها الملحقات وتساعد ست البيت والموظفة والعاملة على الطهى الجيد, 1 '
'سلعه رديئة الصناعه وسريعة الكسر, 0 '
'هذه الماكينة تعمل بالكهرباء من خلال ادابتور ولا تعمل بالشحن ولكنها جيدة جدا وسهلة الاستخدام وتؤدى المطلوب بكل سهولة, 1 '
'نوع ممتاز, 0 '
'السلعة ممتازة وتستحق الشراء حقيقة شاشة واضحة ولمس جيد جدا, 1 '
'السماعة سيئة من ناحية البطارية لا تدوم وقت كافي حتى تعيدها إلى الشحن ولهذا لا أنصح بإقتنائها وأيضا هي لا تدعم البلوتوث فقط شغاله على الكومبيوتر لا تستطيع تشعيلها على الجوالات او غيرها وأعتقد أن السعر مبالغ فيه وشكل كبير, 0 '
'منتج طيب ومفيد لصحة القدمين وانصح به الكبار في السن والباحثين عن الاسترخاء وليس له آثار جانبية لأنه طبيعي, 1 '
'اللعبة ممتعة و تستحق الشراء, 1 '
'جلد طبيعي وجودة عالية, 1 '
'إيجابيات و سلبيات كوكو سماعة الهاتف لون احمر ريترو 35ملمتر, 1 '
'المنتج خفيف وسهل التركيب ويعمل على ايقاف الهواء من الدخول عبر الباب اثناء سير السيارة بسرعة عالية, 1 '
'حسب كلام الاطباء لاتسبب حساسية جلد ونوعية تعتبر اكثر من الممتازة, 1 '
